ID,Language_ID,Headword,Part_Of_Speech,Entry_IDs,Gloss,MWE_Structure,Main_Entry,Morphology,Variant_Form
babaaru_3,tio,babaaru,n3,unuunu_2,,,,,
babaaru_pinopino,tio,babaaru pinopino,adj.constr,,stupid confused,adj - adv,,babaaru pinopino,
babaitono,tio,babaitono,vt,baitono,RED-hear,,,ba-baitono,
babaitono_ni,tio,babaitono ni,vt.constr,baitono,RED-listen,vt - appl,,ba-baitono,
babaitono_voen,tio,babaitono voen,vt.constr,baitono,RED-hear like=DEM3,vt - prep = adv,,ba-baitono vo=en,
babakui,tio,babakui,n2,vahuhu,,,,,
babanihi_1,tio,babanihi,vi,matavusu,,,,,
babanihi_2,tio,babanihi,n3,matavusu,,,,,
babara,tio,babara,vi,karavi ; vababara_1 ; vababara_2,,,,,
babarii,tio,babarii,n2,barii_1,,,,,
bae_1,tio,bae,n3,,,,,,
bae_2,tio,bae,vi,bae_1,,,,,
bae_3,tio,bae,n2,bae_2,,,,,
bae_4,tio,bae,n2,maurata_2 ; upee_2,,,,,
bae_ni,tio,bae ni,vt.constr,bae_1,taboo APPL,vi - appl,,bae ni,
bae_pina_ni,tio,bae pina ni,vt.constr,bae_ni ; pina,taboo stopping APPL,vt - adv - appl,,bae pina ni,
bae_taviri,tio,bae taviri,vt.constr,,build.an.enclosure circle,vt - vt,bae_1 ; taviri,bae taviri,
baea,tio,baea,n3,buruhana_2 ; hanatono ; nahi,,,,,
baebae,tio,baebae,vt/vd,bae_1,RED-enclose,,,bae-bae,
baeke_1,tio,baeke,n3,,,,,,
baeke_2,tio,baeke,vt,,,,,,
baere_1,tio,baere,n2,,,,,,
baere_2,tio,baere,vi/vt,,,,,,
baesusu,tio,baesusu,n2,ogaoga_2,,,,,
bai_1,tio,bai,n3,hiiruu_2 ; hiiruu_bai,,,,,
bai_2,tio,bai,n2,kaapaa ; mamaen_1 ; papasuu,,,,,
baibai,tio,baibai,n3,kehaa,,,,,
baitono,tio,baitono,vt,aheahe_2,,,,,
baitono_inana,tio,baitono inana,vt.constr,inana ; tara_inana,listen recognise,vt - vt,,baitono inana,
LX000004,tio,baitono kaveru vo...en,vt.constr,kaveru_2,hear secretly like ... DEM3,vt - adv - prep - adv,,baitono kaveru vo...en,
baitono_ni,tio,baitono ni,vt.constr,,hear APPL,vt - appl,,baitono ni,
baitono_sue,tio,baitono sue,vi.constr,sue_2 ; vaanagu_sue,hear message,vt - n,,baitono sue,
baitono_vamanemanee,tio,baitono vamanemanee,vt.constr,vamanemanee,hear ADVR-cannot.recognise,vt - adv,,baitono va-manemanee,
baitono_vamataa,tio,baitono vamataa,vt.constr,vamataa_2,listen ADVR-good,vt - adv,,baitono va-mataa,
baitono_vatamaka_ni,tio,baitono vatamaka ni,vt.constr,baitono ; vatamaka,hear ADVR-sad APPL,vt - adv - appl,,baitono va-tamaka ni,
bakubaku,tio,bakubaku,n2,babakui ; bakubaku_aasun ; haeasita ; hiana_2 ; ramerame_suvahi,,,,,
